,SW,phie,GR,ILD,RHOB
count,219425.0,219425.0,219425.0,219425.0,219425.0
mean,0.7098774080893155,0.16449787717899444,51.96481918651152,3.434263651361468,2453.547924220074
std,0.1371465021808081,0.04412038864697515,26.644328769882808,7.961059598514753,77.37981458645945
min,0.21061,0.0119,10.3,0.5289,2145.5986
25%,0.61411,0.136,30.67,1.3738,2394.0894
50%,0.7195699999999999,0.1721,46.97,1.8019,2443.8064
75%,0.8056300000000001,0.1963,64.58,3.0588,2518.4907
max,1.0,0.3056,150.48,748.3657,2666.426
count,123262.0,123262.0,123262.0,123262.0,123262.0
mean,0.3524101560091467,0.2388871614933815,38.36175844948088,451.0106221000911,2322.954328685297
std,0.14947715919357732,0.03155006023065326,20.622440624960298,3407.086592736679,46.68611082081396
min,0.064609,0.1268,10.24,0.6009,2072.6975
25%,0.23771,0.2172,22.92,2.7101,2293.37945
50%,0.33869,0.233,29.89,9.04115,2324.0348000000004
75%,0.44981000000000004,0.2587,49.6575,39.05775,2352.9651249999997
max,0.96535,0.3612,138.43,52313.4141,2572.1299
count,125532.0,125532.0,125532.0,125532.0,125532.0
mean,0.5806147838001485,0.21517017812189554,30.93156756842913,7.738270001274344,2370.844069602969
std,0.12809184364628448,0.030101776450005634,11.863788801943556,29.058634827942022,45.93492447171191
min,0.18850999999999998,0.098,10.23,0.5289,2160.7305
25%,0.4902075,0.1971,21.96,1.6502,2341.6436
50%,0.573125,0.2116,27.45,2.6714,2369.54945
75%,0.67689,0.2274,38.98,5.932425,2394.804075
max,0.9908100000000001,0.3612,81.76,1652.8936,2598.7981
