,SW,phie,GR,ILD,RHOB
count,158179.0,158179.0,158179.0,158179.0,158179.0
mean,0.7168190597993344,0.16188197738005547,41.29424904696471,3.5255624355951656,2479.4181225206157
std,0.1371403806356085,0.044463123172912386,14.893957628347147,6.679959988484912,67.77887396790369
min,0.26539,0.0119,10.3,0.5289,2221.3718
25%,0.620805,0.1326,27.96,1.4243,2425.9689
50%,0.7293,0.1683,41.17,1.9480000000000002,2478.2861
75%,0.812975,0.19399999999999998,51.71,3.3162,2533.1875
max,1.0,0.3039,111.18,643.2595,2666.426
count,191565.0,191565.0,191565.0,191565.0,191565.0
mean,0.46354937175369854,0.2147517683292925,54.02596293686046,291.3825179526595,2347.234261837507
std,0.21045266897303794,0.04605504901750222,29.390062361378774,2741.4211513149335,58.847726723515215
min,0.064609,0.0119,11.35,0.5294,2072.6975
25%,0.29586999999999997,0.1924,27.59,1.5811,2309.5188
50%,0.44097,0.2157,48.27,3.7425,2345.656
75%,0.62671,0.2398,70.75,17.4554,2382.1074
max,1.0,0.3612,150.48,52313.4141,2657.074
count,118475.0,118475.0,118475.0,118475.0,118475.0
mean,0.5900300358725489,0.21781934585353765,26.439860308082352,7.94322110740641,2367.4086255218695
std,0.12982404191054805,0.03277343623712457,8.028483214145599,27.053849492426586,47.56125898306581
min,0.20232999999999998,0.0741,10.23,0.5289,2160.7305
25%,0.49695,0.1986,20.43,1.6452499999999999,2335.61255
50%,0.58568,0.2154,25.08,2.7235,2366.2981
75%,0.68957,0.2328,30.44,6.0595,2393.32445
max,0.9908100000000001,0.3612,61.78,1621.7559,2598.7981
