,Vb,Vp,OIP,HCPV,Case
0,1464575253.6486347,289473679.4785518,160858746.1901462,58466804.91445979,Melani
1,1464575253.6486347,289473679.4785518,160858746.1901462,160858746.1901462,Volume Total
2,1464575253.6486347,289498051.92238224,168253948.4435364,168253948.4435364,Volume Total - Porosidade Constante (Valor médio)
3,1464575253.6486347,289473679.4785518,168217671.45593712,168217671.45593712,Volume Total - Saturação de Água Constante (Valor médio)
4,1464575253.6486347,289473679.4785518,160858746.1901462,45025777.13118391,NG 50%
5,1464575253.6486347,289473679.4785518,160858746.1901462,13138639.8811443,NG 75%
6,1464575253.6486347,289473679.4785518,160858746.1901462,2718101.2231662325,NG 90%
7,1464575253.6486347,289473679.4785518,160858746.1901462,82021770.54498407,NG = GMM P'(0)
8,464377709.85246813,74697978.76584089,51156147.42096321,51156147.42096321,Kmeans 0
9,260012682.06216902,48196290.766322754,30901727.07906669,30901727.07906669,Kmeans 1
10,740184861.733997,166579409.94638824,78800871.69011629,78800871.69011629,Kmeans 2
11,777879899.488265,142651679.5908562,88346878.15824667,88346878.15824667,GMM 0
12,188871294.44019303,37159007.314003825,22400493.909082074,22400493.909082074,GMM 1
13,497824059.7201761,109662992.57369177,50111374.12281744,50111374.12281744,GMM 2
