,wcss_data,wcss_pca
0,3745752.0000000005,2418381.806075805
1,3028131.6172687076,1706085.1458588196
2,2619654.781570199,1301132.148984966
3,2365897.557764686,1052316.7561681138
4,2013066.1957074928,902290.5997244702
5,1847111.1274445737,812179.2652661897
6,1726713.6740944379,737439.8182854559
7,1636494.5883255347,671708.0692002095
8,1544216.3762973796,622728.9326675285
9,1468527.6069656594,578833.625615375
10,1400077.3730628376,540480.5845655821
11,1334630.443450326,503677.52554633917
12,1290728.3563227265,475225.78268714395
13,1250014.4917620148,451111.19097788254
