,Vb,Vp,OIP,HCPV,Case
0,2912272649.0,575632462.8750999,308168287.5836296,113689845.29638265,Melani
1,2912272649.0,575632462.8750999,308168287.5836296,308168287.5836296,Volume Total
2,2912272649.0,575660235.1971854,322602461.4161837,322602461.4161837,Volume Total - Porosidade Constante (Valor médio)
3,2912272649.0,575632462.8750999,322467325.2667666,322467325.2667666,Volume Total - Saturação de Água Constante (Valor médio)
4,2912272649.0,575632462.8750999,308168287.5836296,66133112.50718221,NG 50%
5,2912272649.0,575632462.8750999,308168287.5836296,15187840.390777655,NG 75%
6,2912272649.0,575632462.8750999,308168287.5836296,2694836.865535081,NG 90%
7,2912272649.0,575632462.8750999,308168287.5836296,154760752.9724228,NG = GMM P'(0)
8,1544001338.0,284322270.8466,167771376.74946892,167771376.74946892,GMM 0
9,401357823.0,78184666.4689,46268050.98587126,46268050.98587126,GMM 1
10,966913488.0,213125525.5596,94128859.84828942,94128859.84828942,GMM 2
