,SW,phie,GR,ILD,RHOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,158179,158179,158179,158179,158179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.71681906,0.161881977,41.29424905,3.525562436,2479.418123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,0.137140381,0.044463123,14.89395763,6.679959988,67.77887397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.26539,0.0119,10.3,0.5289,2221.3718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,0.620805,0.1326,27.96,1.4243,2425.9689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,0.7293,0.1683,41.17,1.948,2478.2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75%,0.812975,0.194,51.71,3.3162,2533.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,1,0.3039,111.18,643.2595,2666.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,191565,191565,191565,191565,191565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.463549372,0.214751768,54.02596294,291.382518,2347.234262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,0.210452669,0.046055049,29.39006236,2741.421151,58.84772672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.064609,0.0119,11.35,0.5294,2072.6975,,,,,,,,,,,,,,,Classe,0,0,1,1,2,2,,Classe,0,0,1,1,2,2
25%,0.29587,0.1924,27.59,1.5811,2309.5188,,,,,,,,,,,,,,,,mean,std,mean,std,mean,std,,,Média,CV,Média,CV,Média,CV
50%,0.44097,0.2157,48.27,3.7425,2345.656,,,,,,,,,,,,,,,SW,0.71681906,0.137140381,0.463549372,0.210452669,0.590030036,0.129824042,,SW,0.717,0.191,0.464,0.454,0.590,0.220
75%,0.62671,0.2398,70.75,17.4554,2382.1074,,,,,,,,,,,,,,,phie,0.161881977,0.044463123,0.214751768,0.046055049,0.217819346,0.032773436,,phie,0.162,0.275,0.215,0.214,0.218,0.150
max,1,0.3612,150.48,52313.4141,2657.074,,,,,,,,,,,,,,,GR,41.29424905,14.89395763,54.02596294,29.39006236,26.43986031,8.028483214,,GR,41.294,0.361,54.026,0.544,26.440,0.304
count,118475,118475,118475,118475,118475,,,,,,,,,,,,,,,ILD,3.525562436,6.679959988,291.382518,2741.421151,7.943221107,27.05384949,,ILD,3.526,1.895,291.383,9.408,7.943,3.406
mean,0.590030036,0.217819346,26.43986031,7.943221107,2367.408626,,,,,,,,,,,,,,,RHOB,2479.418123,67.77887397,2347.234262,58.84772672,2367.408626,47.56125898,,RHOB,2479.418,0.027,2347.234,0.025,2367.409,0.020
std,0.129824042,0.032773436,8.028483214,27.05384949,47.56125898,,,,,,,,,,,,,,,N,158179,,191565,,118475,,,N,158179,,191565,,118475,
min,0.20233,0.0741,10.23,0.5289,2160.7305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,0.49695,0.1986,20.43,1.64525,2335.61255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,0.58568,0.2154,25.08,2.7235,2366.2981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75%,0.68957,0.2328,30.44,6.0595,2393.32445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,0.99081,0.3612,61.78,1621.7559,2598.7981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
